"Time","holidays to cyprus"
"2026-01-01",26
"2026-01-02",33
"2026-01-03",0
"2026-01-04",55
"2026-01-05",36
"2026-01-06",0
"2026-01-07",22
"2026-01-08",32
"2026-01-09",0
"2026-01-10",47
"2026-01-11",54
"2026-01-12",54
"2026-01-13",30
"2026-01-14",39
"2026-01-15",30
"2026-01-16",0
"2026-01-17",36
"2026-01-18",65
"2026-01-19",35
"2026-01-20",30
"2026-01-21",25
"2026-01-22",27
"2026-01-23",33
"2026-01-24",31
"2026-01-25",45
"2026-01-26",48
"2026-01-27",0
"2026-01-28",26
"2026-01-29",29
"2026-01-30",0
"2026-01-31",36
"2026-02-01",54
"2026-02-02",27
"2026-02-03",0
"2026-02-04",28
"2026-02-05",0
"2026-02-06",24
"2026-02-07",26
"2026-02-08",44
"2026-02-09",33
"2026-02-10",31
"2026-02-11",24
"2026-02-12",0
"2026-02-13",25
"2026-02-14",32
"2026-02-15",35
"2026-02-16",31
"2026-02-17",25
"2026-02-18",27
"2026-02-19",44
"2026-02-20",0
"2026-02-21",31
"2026-02-22",39
"2026-02-23",21
"2026-02-24",0
"2026-02-25",0
"2026-02-26",31
"2026-02-27",0
"2026-02-28",50
"2026-03-01",91
"2026-03-02",94
"2026-03-03",86
"2026-03-04",100
"2026-03-05",60
"2026-03-06",52
"2026-03-07",38
"2026-03-08",40
"2026-03-09",76
"2026-03-10",43
"2026-03-11",36
"2026-03-12",24
"2026-03-13",33
"2026-03-14",34
"2026-03-15",0
"2026-03-16",30
"2026-03-17",26
"2026-03-18",25
"2026-03-19",23
"2026-03-20",23
"2026-03-21",22
"2026-03-22",28
"2026-03-23",22
"2026-03-24",24
"2026-03-25",24
"2026-03-26",25
"2026-03-27",24
"2026-03-28",28
"2026-03-29",33
"2026-03-30",32
"2026-03-31",26