"Time","holidays to greece"
"2026-01-01",47
"2026-01-02",56
"2026-01-03",87
"2026-01-04",63
"2026-01-05",59
"2026-01-06",71
"2026-01-07",60
"2026-01-08",55
"2026-01-09",59
"2026-01-10",80
"2026-01-11",100
"2026-01-12",69
"2026-01-13",60
"2026-01-14",47
"2026-01-15",54
"2026-01-16",68
"2026-01-17",72
"2026-01-18",99
"2026-01-19",78
"2026-01-20",48
"2026-01-21",56
"2026-01-22",40
"2026-01-23",65
"2026-01-24",66
"2026-01-25",63
"2026-01-26",66
"2026-01-27",56
"2026-01-28",54
"2026-01-29",47
"2026-01-30",37
"2026-01-31",58
"2026-02-01",70
"2026-02-02",51
"2026-02-03",46
"2026-02-04",36
"2026-02-05",43
"2026-02-06",58
"2026-02-07",35
"2026-02-08",59
"2026-02-09",34
"2026-02-10",45
"2026-02-11",43
"2026-02-12",39
"2026-02-13",31
"2026-02-14",47
"2026-02-15",75
"2026-02-16",46
"2026-02-17",46
"2026-02-18",39
"2026-02-19",42
"2026-02-20",29
"2026-02-21",39
"2026-02-22",70
"2026-02-23",26
"2026-02-24",49
"2026-02-25",52
"2026-02-26",62
"2026-02-27",47
"2026-02-28",44
"2026-03-01",79
"2026-03-02",54
"2026-03-03",26
"2026-03-04",48
"2026-03-05",41
"2026-03-06",36
"2026-03-07",50
"2026-03-08",72
"2026-03-09",41
"2026-03-10",58
"2026-03-11",46
"2026-03-12",39
"2026-03-13",52
"2026-03-14",40
"2026-03-15",43
"2026-03-16",56
"2026-03-17",40
"2026-03-18",37
"2026-03-19",38
"2026-03-20",36
"2026-03-21",42
"2026-03-22",52
"2026-03-23",44
"2026-03-24",37
"2026-03-25",38
"2026-03-26",40
"2026-03-27",36
"2026-03-28",44
"2026-03-29",60
"2026-03-30",45
"2026-03-31",36