"Time","japan tours"
"2025-12-21",0
"2025-12-22",0
"2025-12-23",0
"2025-12-24",70
"2025-12-25",0
"2025-12-26",66
"2025-12-27",69
"2025-12-28",0
"2025-12-29",0
"2025-12-30",0
"2025-12-31",70
"2026-01-01",0
"2026-01-02",0
"2026-01-03",0
"2026-01-04",92
"2026-01-05",0
"2026-01-06",57
"2026-01-07",0
"2026-01-08",0
"2026-01-09",0
"2026-01-10",91
"2026-01-11",57
"2026-01-12",0
"2026-01-13",0
"2026-01-14",0
"2026-01-15",0
"2026-01-16",0
"2026-01-17",0
"2026-01-18",73
"2026-01-19",61
"2026-01-20",0
"2026-01-21",0
"2026-01-22",0
"2026-01-23",0
"2026-01-24",0
"2026-01-25",65
"2026-01-26",79
"2026-01-27",60
"2026-01-28",62
"2026-01-29",66
"2026-01-30",61
"2026-01-31",68
"2026-02-01",73
"2026-02-02",73
"2026-02-03",0
"2026-02-04",74
"2026-02-05",0
"2026-02-06",0
"2026-02-07",91
"2026-02-08",100
"2026-02-09",65
"2026-02-10",86
"2026-02-11",0
"2026-02-12",54
"2026-02-13",0
"2026-02-14",0
"2026-02-15",0
"2026-02-16",0
"2026-02-17",51
"2026-02-18",0
"2026-02-19",0
"2026-02-20",0
"2026-02-21",57
"2026-02-22",64
"2026-02-23",66
"2026-02-24",0
"2026-02-25",0
"2026-02-26",0
"2026-02-27",0
"2026-02-28",0
"2026-03-01",0
"2026-03-02",0
"2026-03-03",0
"2026-03-04",0
"2026-03-05",0
"2026-03-06",23
"2026-03-07",28
"2026-03-08",34
"2026-03-09",25
"2026-03-10",24
"2026-03-11",30
"2026-03-12",28
"2026-03-13",25
"2026-03-14",29
"2026-03-15",34
"2026-03-16",29
"2026-03-17",31
"2026-03-18",22
"2026-03-19",23
"2026-03-20",23