"Time","Wightlink"
"2026-01-01",32
"2026-01-02",28
"2026-01-03",40
"2026-01-04",25
"2026-01-05",30
"2026-01-06",22
"2026-01-07",23
"2026-01-08",40
"2026-01-09",46
"2026-01-10",44
"2026-01-11",38
"2026-01-12",41
"2026-01-13",46
"2026-01-14",38
"2026-01-15",37
"2026-01-16",24
"2026-01-17",32
"2026-01-18",33
"2026-01-19",33
"2026-01-20",30
"2026-01-21",39
"2026-01-22",40
"2026-01-23",33
"2026-01-24",39
"2026-01-25",43
"2026-01-26",53
"2026-01-27",43
"2026-01-28",36
"2026-01-29",42
"2026-01-30",35
"2026-01-31",35
"2026-02-01",34
"2026-02-02",39
"2026-02-03",43
"2026-02-04",38
"2026-02-05",36
"2026-02-06",31
"2026-02-07",33
"2026-02-08",46
"2026-02-09",29
"2026-02-10",39
"2026-02-11",36
"2026-02-12",34
"2026-02-13",40
"2026-02-14",34
"2026-02-15",41
"2026-02-16",41
"2026-02-17",100
"2026-02-18",61
"2026-02-19",41
"2026-02-20",54
"2026-02-21",34
"2026-02-22",40
"2026-02-23",36
"2026-02-24",27
"2026-02-25",27
"2026-02-26",38
"2026-02-27",26
"2026-02-28",34
"2026-03-01",49
"2026-03-02",37
"2026-03-03",40
"2026-03-04",44
"2026-03-05",39
"2026-03-06",36
"2026-03-07",36
"2026-03-08",53
"2026-03-09",60
"2026-03-10",44
"2026-03-11",36
"2026-03-12",49
"2026-03-13",33
"2026-03-14",30
"2026-03-15",32
"2026-03-16",31
"2026-03-17",31
"2026-03-18",36
"2026-03-19",40
"2026-03-20",46
"2026-03-21",47
"2026-03-22",43
"2026-03-23",41
"2026-03-24",33
"2026-03-25",33
"2026-03-26",32
"2026-03-27",40
"2026-03-28",41
"2026-03-29",47
"2026-03-30",47
"2026-03-31",41