"Time","japan holiday"
"2025-12-18",100
"2025-12-19",50
"2025-12-20",67
"2025-12-21",79
"2025-12-22",49
"2025-12-23",44
"2025-12-24",85
"2025-12-25",91
"2025-12-26",90
"2025-12-27",66
"2025-12-28",63
"2025-12-29",72
"2025-12-30",70
"2025-12-31",32
"2026-01-01",65
"2026-01-02",73
"2026-01-03",57
"2026-01-04",92
"2026-01-05",52
"2026-01-06",49
"2026-01-07",45
"2026-01-08",28
"2026-01-09",45
"2026-01-10",63
"2026-01-11",71
"2026-01-12",38
"2026-01-13",50
"2026-01-14",28
"2026-01-15",51
"2026-01-16",48
"2026-01-17",49
"2026-01-18",70
"2026-01-19",52
"2026-01-20",38
"2026-01-21",59
"2026-01-22",42
"2026-01-23",33
"2026-01-24",47
"2026-01-25",76
"2026-01-26",56
"2026-01-27",55
"2026-01-28",49
"2026-01-29",56
"2026-01-30",37
"2026-01-31",68
"2026-02-01",54
"2026-02-02",52
"2026-02-03",29
"2026-02-04",24
"2026-02-05",37
"2026-02-06",36
"2026-02-07",36
"2026-02-08",54
"2026-02-09",42
"2026-02-10",55
"2026-02-11",61
"2026-02-12",24
"2026-02-13",49
"2026-02-14",35
"2026-02-15",70
"2026-02-16",41
"2026-02-17",63
"2026-02-18",26
"2026-02-19",48
"2026-02-20",53
"2026-02-21",41
"2026-02-22",61
"2026-02-23",60
"2026-02-24",25
"2026-02-25",42
"2026-02-26",29
"2026-02-27",36
"2026-02-28",53
"2026-03-01",41
"2026-03-02",57
"2026-03-03",26
"2026-03-04",23
"2026-03-05",22
"2026-03-06",20
"2026-03-07",28
"2026-03-08",34
"2026-03-09",27
"2026-03-10",23
"2026-03-11",26
"2026-03-12",21
"2026-03-13",23
"2026-03-14",28
"2026-03-15",33
"2026-03-16",30
"2026-03-17",26